work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,salary_category
2021,mi,FT,data scientist,30400000,CLP,40038.0,CL,100,CL,l,Low
2021,mi,FT,bi data analyst,11000000,HUF,36259.0,HU,50,US,l,Low
2020,mi,FT,data scientist,11000000,HUF,35735.0,HU,50,HU,l,Low
2021,mi,FT,ml engineer,8500000,JPY,77364.0,JP,50,JP,s,Medium
2022,se,FT,lead machine learning engineer,7500000,INR,95386.0,IN,50,IN,l,Medium
2021,mi,FT,ml engineer,7000000,JPY,63711.0,JP,50,JP,s,Medium
2021,se,FT,data science manager,7000000,INR,94665.0,IN,50,IN,l,Medium
2022,en,FT,data scientist,6600000,HUF,17684.0,HU,100,HU,m,Low
2022,ex,FT,head of machine learning,6000000,INR,76309.0,IN,50,IN,l,Medium
2022,en,FT,research engineer,5500000,JPY,41809.0,JP,50,JP,l,Low
2023,mi,FT,head of data science,5000000,INR,60805.0,IN,50,IN,l,Medium
2023,en,FT,ai programmer,4950806,INR,60207.0,IN,0,IN,s,Medium
2021,se,FT,machine learning engineer,4900000,INR,66265.0,IN,0,IN,l,Medium
2022,se,FT,lead data scientist,4460000,INR,56723.0,IN,0,IN,l,Medium
2020,en,FT,data engineer,4450000,JPY,41689.0,JP,100,JP,s,Low
2022,mi,FT,data scientist,4200000,INR,53416.0,IN,100,ID,l,Medium
2023,en,FT,applied machine learning scientist,4000000,INR,48644.0,IN,100,DE,l,Low
2021,se,FT,data scientist,4000000,INR,54094.0,IN,100,IN,l,Medium
2021,se,FT,data science manager,4000000,INR,54094.0,IN,50,US,l,Medium
2023,se,FT,data science manager,3600000,INR,43779.0,IN,100,IN,l,Low
2024,mi,FT,lead data analyst,3300000,INR,39615.0,IN,50,IN,l,Low
2023,mi,FT,data science manager,3200000,INR,38915.0,IN,50,IN,l,Low
2023,mi,FT,data analytics manager,3200000,INR,38915.0,IN,50,IN,m,Low
2023,se,FT,data integration specialist,3000000,INR,36483.0,IN,50,IN,l,Low
2022,se,FT,principal data architect,3000000,INR,38154.0,IN,100,IN,l,Low
2021,se,FT,lead data scientist,3000000,INR,40570.0,IN,50,IN,l,Low
2020,mi,FT,data scientist,3000000,INR,40481.0,IN,0,IN,l,Low
2022,mi,FT,data engineer,2800000,INR,35610.0,IN,50,IN,l,Low
2023,mi,FT,nlp engineer,2700000,INR,32834.0,IN,100,IN,m,Low
2022,mi,FT,data scientist,2500000,INR,31795.0,IN,100,US,m,Low
2021,mi,FT,data scientist,2500000,INR,33808.0,IN,0,IN,m,Low
2022,mi,FL,applied machine learning scientist,2400000,INR,30523.0,IN,100,IN,s,Low
2022,mi,FT,data scientist,2400000,INR,30523.0,IN,100,IN,l,Low
2024,mi,FT,big data engineer,2300000,INR,27611.0,IN,100,IN,l,Low
2021,en,FT,data engineer,2250000,INR,30428.0,IN,100,IN,l,Low
2021,en,FT,data scientist,2200000,INR,29751.0,IN,50,IN,l,Low
2021,en,FT,data scientist,2100000,INR,28399.0,IN,100,IN,m,Low
2023,en,FT,ai research engineer,2000000,INR,24322.0,IN,100,CH,l,Low
2023,mi,FT,machine learning software engineer,2000000,INR,24322.0,IN,50,IN,l,Low
2022,en,FT,data scientist,1800000,INR,22892.0,IN,50,IN,m,Low
2021,se,FT,machine learning engineer,1799997,INR,24342.0,IN,100,IN,l,Low
2023,en,FT,data analyst,1700000,INR,20673.0,IN,50,IN,l,Low
2023,mi,FT,applied data scientist,1700000,INR,20673.0,IN,100,IN,l,Low
2021,mi,FT,big data engineer,1672000,INR,22611.0,IN,0,IN,l,Low
2022,mi,FT,machine learning engineer,1650000,INR,20984.0,IN,50,IN,l,Low
2021,en,FT,data engineer,1600000,INR,21637.0,IN,50,IN,m,Low
2023,se,FT,ai scientist,1500000,ILS,417937.0,IL,0,IL,l,Elite
2023,mi,FT,lead data analyst,1500000,INR,18241.0,IN,50,IN,l,Low
2021,mi,FT,lead data analyst,1450000,INR,19609.0,IN,100,IN,l,Low
2023,mi,FT,data analytics lead,1440000,INR,17511.0,IN,50,SG,m,Low
2022,mi,FT,business data analyst,1440000,INR,18314.0,IN,50,IN,l,Low
2023,en,FT,data engineer,1400000,INR,17025.0,IN,100,IN,l,Low
2023,mi,FT,data scientist,1400000,INR,17025.0,IN,100,IN,l,Low
2022,mi,FT,business data analyst,1400000,INR,17805.0,IN,100,IN,m,Low
2022,en,FT,data scientist,1400000,INR,17805.0,IN,100,IN,m,Low
2023,mi,FT,product data analyst,1350000,INR,16417.0,IN,100,IN,l,Low
2021,en,FT,ai scientist,1335000,INR,18053.0,IN,100,AS,s,Low
2023,se,FT,data analyst,1300000,INR,15809.0,IN,100,IN,s,Low
2022,mi,FT,computer vision engineer,1250000,INR,15897.0,IN,100,IN,m,Low
2021,mi,FT,data analyst,1250000,INR,16904.0,IN,50,IN,l,Low
2021,mi,FT,data scientist,1250000,INR,16904.0,IN,100,IN,s,Low
2021,en,FT,big data engineer,1200000,INR,16228.0,IN,100,IN,l,Low
2023,ex,FT,data scientist,1050000,NOK,100416.0,NO,50,NO,s,High
2023,se,FT,data science consultant,1000000,THB,29301.0,TH,50,TH,m,Low
2023,mi,FT,data analyst,866000,PHP,15680.0,PH,50,PH,l,Low
2023,mi,FT,data scientist,840000,THB,24613.0,TH,50,TH,l,Low
2024,mi,FT,ai architect,800000,USD,800000.0,CA,100,CA,m,Elite
2023,se,FT,data scientist,800000,NOK,76508.0,NO,50,NO,s,Medium
2024,en,FT,data analyst,774000,USD,774000.0,MX,0,MX,m,Elite
2024,se,FT,analytics engineer,750000,USD,750000.0,US,0,US,m,Elite
2024,mi,FT,machine learning scientist,750000,USD,750000.0,US,0,US,m,Elite
2024,se,FT,data analyst,750000,USD,750000.0,US,0,US,m,Elite
2023,mi,FT,machine learning scientist,750000,USD,750000.0,US,0,US,m,Elite
2023,mi,FT,machine learning engineer,750000,USD,750000.0,US,0,US,m,Elite
2023,mi,FT,data engineer,750000,USD,750000.0,US,0,US,m,Elite
2023,se,FT,data scientist,750000,USD,750000.0,US,0,US,m,Elite
2024,mi,FT,machine learning scientist,720000,USD,720000.0,US,0,US,m,Elite
2024,se,FT,data scientist,720000,USD,720000.0,US,100,US,m,Elite
2024,mi,FT,analytics engineer,720000,USD,720000.0,US,0,US,m,Elite
2024,se,FT,analytics engineer,720000,USD,720000.0,US,0,US,m,Elite
2024,se,FT,data scientist,720000,USD,720000.0,US,0,US,m,Elite
2024,mi,FT,research engineer,720000,USD,720000.0,US,0,US,m,Elite
2024,mi,FT,research scientist,720000,USD,720000.0,US,0,US,m,Elite
2020,se,FT,data engineer,720000,MXN,33511.0,MX,0,MX,s,Low
2023,se,FT,analytics engineer,700000,USD,700000.0,US,100,US,m,Elite
